NOMINATION_ID,GT_SAQ_MILESTONE,GT_SAQ_MILESTONE_CATEGORY
N26-EXP20-1535,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0884,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4551,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4891,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0128,CLEAN A/RTB,RTB'D YR 2021
MIT-EXP20-0021,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1166,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2885,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2886,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0908,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1041,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0550,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1836,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0319,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP20-0042,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3931,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0926,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP20-0045,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4553,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3971,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0329,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP20-0046,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1540,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1587,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP19-0828,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2330,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1537,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-2600,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3638,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3377,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1588,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1589,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0589,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2267,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP19-0834,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0146,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0150,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3646,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3386,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1590,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1591,CLEAN A/RTB,RTB'D YR 2021
MOB-TRFS20-0046,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1592,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1544,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0195,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1934,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1545,CLEAN A/RTB,RTB'D YR 2021
MIT-EXP20-0025,CLEAN A/RTB,RTB'D YR 2021
MIT-EXP20-0027,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0415,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2129,CLEAN A/RTB,RTB'D YR 2021
MOB-TRFS20-0040,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0378,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1594,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1547,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0976,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3799,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3652,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3115,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3049,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1595,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0383,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2340,CLEAN A/RTB,RTB'D YR 2021
